#R=100 CaF2 Prism
#Limiting point source sensitivity
#10.000 s total exposure
#1.000 s sub-exposures
#S/N=10 per 2 pixel wide spectral resolution element
#
#Wave     Spect.    Cont.    Line
#length    res.     Flux     Flux
#(micron)   R       (nJy)  (erg/s/cm2)
#
0.60     66.8     187.7   1.40E-17
0.65     57.9     162.4   1.29E-17
0.70     51.1     142.9   1.20E-17
0.75     45.9     127.7   1.11E-17
0.80     41.9     115.6   1.03E-17
0.85     38.8     107.3   9.75E-18
0.90     36.5     100.6   9.18E-18
0.95     34.7      94.7   8.62E-18
1.00     33.4      89.8   8.06E-18
1.05     32.5      79.7   6.99E-18
1.10     32.0      76.6   6.53E-18
1.15     31.7      74.0   6.09E-18
1.20     31.7      71.9   5.67E-18
1.25     31.9      70.4   5.29E-18
1.30     32.3      69.4   4.96E-18
1.35     32.9      68.7   4.64E-18
1.40     33.6      68.2   4.34E-18
1.45     34.5      67.9   4.07E-18
1.50     35.5      67.7   3.81E-18
1.55     36.7      68.1   3.59E-18
1.60     37.9      68.7   3.39E-18
1.65     39.3      69.4   3.21E-18
1.70     40.8      70.2   3.04E-18
1.75     42.4      71.1   2.88E-18
1.80     44.0      72.1   2.73E-18
1.85     45.8      73.1   2.59E-18
1.90     47.6      74.1   2.46E-18
1.95     49.6      75.2   2.33E-18
2.00     51.6      76.3   2.22E-18
2.05     53.7      77.8   2.12E-18
2.10     55.8      79.4   2.03E-18
2.15     58.1      81.1   1.95E-18
2.20     60.4      82.8   1.87E-18
2.25     62.8      84.5   1.79E-18
2.30     65.3      86.3   1.72E-18
2.35     67.9      88.1   1.66E-18
2.40     70.5      89.9   1.59E-18
2.45     73.2      91.9   1.54E-18
2.50     75.9      93.8   1.48E-18
2.55     78.8      95.7   1.43E-18
2.60     81.7      97.7   1.38E-18
2.65     84.7      99.7   1.33E-18
2.70     87.7     101.7   1.29E-18
2.75     90.8     103.8   1.25E-18
2.80     94.0     106.0   1.21E-18
2.85     97.3     108.4   1.17E-18
2.90    100.6     111.0   1.14E-18
2.95    104.0     113.6   1.11E-18
3.00    107.4     116.3   1.08E-18
3.05    111.0     119.4   1.06E-18
3.10    114.5     122.6   1.03E-18
3.15    118.2     126.0   1.01E-18
3.20    121.9     129.7   9.97E-19
3.25    125.7     133.5   9.79E-19
3.30    129.6     137.4   9.63E-19
3.35    133.5     141.5   9.48E-19
3.40    137.6     145.7   9.34E-19
3.45    141.6     149.8   9.19E-19
3.50    145.8     153.8   9.03E-19
3.55    150.0     160.9   9.06E-19
3.60    154.3     168.3   9.08E-19
3.65    158.6     175.7   9.10E-19
3.70    163.0     183.3   9.11E-19
3.75    167.5     191.1   9.12E-19
3.80    172.1     199.7   9.16E-19
3.85    176.7     208.6   9.19E-19
3.90    181.4     217.7   9.22E-19
3.95    186.2     227.1   9.26E-19
4.00    191.1     236.7   9.29E-19
4.05    196.0     246.7   9.32E-19
4.10    201.0     258.0   9.39E-19
4.15    206.0     270.0   9.47E-19
4.20    211.2     282.5   9.55E-19
4.25    216.4     295.5   9.63E-19
4.30    221.7     309.0   9.72E-19
4.35    227.0     323.0   9.81E-19
4.40    232.5     337.6   9.89E-19
4.45    238.0     352.6   9.98E-19
4.50    243.5     368.3   1.01E-18
4.55    249.2     384.6   1.02E-18
4.60    254.9     401.7   1.03E-18
4.65    260.7     419.4   1.04E-18
4.70    266.6     437.2   1.05E-18
4.75    272.6     454.0   1.05E-18
4.80    278.6     471.4   1.06E-18
4.85    284.7     489.3   1.06E-18
4.90    290.9     507.9   1.07E-18
4.95    297.2     527.1   1.07E-18
5.00    303.5     546.9   1.08E-18
