#R=1000 Gratings
#Limiting point source sensitivity
#100.000 s total exposure
#1.000 s sub-exposures
#S/N=10 per 2 pixel wide spectral resolution element
#
#Wave     Spect.    Cont.    Line
#length    res.     Flux     Flux
#(micron)   R       (nJy)  (erg/s/cm2)
#
# Band I
1.00    714.3     361.3   1.52E-18
1.05    750.0     305.4   1.16E-18
1.10    785.7     298.5   1.04E-18
1.15    821.4     296.7   9.42E-19
1.20    857.1     298.6   8.70E-19
1.25    892.9     304.3   8.17E-19
1.30    928.6     313.6   7.79E-19
1.35    964.3     325.1   7.49E-19
1.40   1000.0     338.6   7.25E-19
1.45   1035.7     353.9   7.06E-19
1.50   1071.4     370.8   6.92E-19
1.55   1107.1     393.3   6.87E-19
1.60   1142.9     418.6   6.86E-19
1.65   1178.6     445.9   6.87E-19
#1.70   1214.3     475.3   6.90E-19
#1.75   1250.0     506.8   6.95E-19
#1.80   1285.7     540.4   7.00E-19
#
# Band II
1.70    723.4     290.7   7.09E-19
1.75    744.7     278.1   6.40E-19
1.80    766.0     269.1   5.85E-19
1.85    787.2     263.1   5.42E-19
1.90    808.5     259.1   5.06E-19
1.95    829.8     256.9   4.76E-19
2.00    851.1     256.2   4.51E-19
2.05    872.3     258.5   4.33E-19
2.10    893.6     261.9   4.18E-19
2.15    914.9     266.4   4.06E-19
2.20    936.2     271.8   3.96E-19
2.25    957.4     278.0   3.87E-19
2.30    978.7     285.1   3.80E-19
2.35   1000.0     292.9   3.74E-19
2.40   1021.3     301.6   3.69E-19
2.45   1042.6     310.9   3.65E-19
2.50   1063.8     320.9   3.62E-19
2.55   1085.1     331.3   3.59E-19
2.60   1106.4     342.4   3.57E-19
2.65   1127.7     354.2   3.55E-19
2.70   1148.9     366.7   3.54E-19
2.75   1170.2     379.9   3.54E-19
2.80   1191.5     393.7   3.54E-19
2.85   1212.8     409.4   3.55E-19
#2.90   1234.0     425.9   3.57E-19
#2.95   1255.3     443.1   3.59E-19
#3.00   1276.6     461.2   3.61E-19
#
# Band III
2.90    734.2     274.4   3.86E-19
2.95    746.8     269.1   3.66E-19
3.00    759.5     265.0   3.49E-19
3.05    772.2     262.1   3.34E-19
3.10    784.8     260.0   3.20E-19
3.15    797.5     259.3   3.09E-19
3.20    810.1     259.5   3.00E-19
3.25    822.8     260.3   2.92E-19
3.30    835.4     261.8   2.85E-19
3.35    848.1     263.8   2.78E-19
3.40    860.8     266.3   2.73E-19
3.45    873.4     268.9   2.68E-19
3.50    886.1     271.4   2.62E-19
3.55    898.7     275.5   2.59E-19
3.60    911.4     280.1   2.56E-19
3.65    924.1     285.0   2.53E-19
3.70    936.7     290.4   2.51E-19
3.75    949.4     296.3   2.49E-19
3.80    962.0     303.4   2.49E-19
3.85    974.7     311.1   2.49E-19
3.90    987.3     319.1   2.48E-19
3.95   1000.0     327.6   2.49E-19
4.00   1012.7     336.4   2.49E-19
4.05   1025.3     345.8   2.50E-19
4.10   1038.0     357.1   2.52E-19
4.15   1050.6     369.2   2.54E-19
4.20   1063.3     381.9   2.56E-19
4.25   1075.9     395.3   2.59E-19
4.30   1088.6     409.3   2.62E-19
4.35   1101.3     424.0   2.65E-19
4.40   1113.9     439.3   2.69E-19
4.45   1126.6     455.2   2.72E-19
4.50   1139.2     471.8   2.76E-19
4.55   1151.9     489.2   2.80E-19
4.60   1164.6     507.3   2.84E-19
4.65   1177.2     526.3   2.88E-19
4.70   1189.9     545.3   2.92E-19
4.75   1202.5     563.1   2.96E-19
4.80   1215.2     581.4   2.99E-19
4.85   1227.8     600.5   3.02E-19
4.90   1240.5     620.3   3.06E-19
4.95   1253.2     640.8   3.10E-19
5.00   1265.8     662.0   3.14E-19
